working,lot,year,collectible,edition,name,condition,uncleaned
Serendib Djinn,,1993,Magic The Gathering,Arabian Nights,Serendib Djinn,U2 B BGS 9 MINT,1993 Magic The Gathering MTG Arabian Nights Serendib Djinn U2 B BGS 9 MINT
Gaea's Liege,,1993,Magic The Gathering,Beta,Gaea's Liege,R G PSA 10 GEM MINT (PWCC),1993 Magic The Gathering MTG Beta Gaea's Liege R G PSA 10 GEM MINT (PWCC)
Dual Land Savannah,,1993,Magic The Gathering,Unlimited,Dual Land Savannah,R W BGS 9 MINT,1993 Magic The Gathering MTG Unlimited Dual Land Savannah R W BGS 9 MINT
Dual Land Scrubland,,1993,Magic The Gathering,Unlimited,Dual Land Scrubland,R L BGS 9 MINT,1993 Magic The Gathering MTG Unlimited Dual Land Scrubland R L BGS 9 MINT
Black Lotus,,1993,Magic The Gathering,Unlimited,Black Lotus,R A BGS 9 MINT,1993 Magic The Gathering MTG Unlimited Black Lotus R A BGS 9 MINT
Mox Pearl,,1993,Magic The Gathering,Unlimited,Mox Pearl,R A BGS 9 MINT,1993 Magic The Gathering MTG Unlimited Mox Pearl R A BGS 9 MINT
Book Promo Fireball,,1994,Magic The Gathering,,Book Promo Fireball,PSA 8 NM-MT (PWCC),1994 Magic The Gathering MTG Book Promo Fireball PSA 8 NM-MT (PWCC)
Booster Box English 36ct Packs (PWCC),,1999,Magic The Gathering,Urza's Legacy,,,1999 Magic The Gathering MTG Urza's Legacy Booster Box English 36ct Packs (PWCC)
Black Lotus,,1993,Magic The Gathering,Alpha,Black Lotus,R A BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Alpha Black Lotus R A BGS 8.5 NM-MT+ (PWCC)
Juzam Djinn,,1993,Magic The Gathering,Arabian Nights,Juzam Djinn,U2 K BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Arabian Nights Juzam Djinn U2 K BGS 9 MINT (PWCC)
Mox Sapphire,,1993,Magic The Gathering,Unlimited,Mox Sapphire,R A BGS 10 PRISTINE (PWCC),1993 Magic The Gathering MTG Unlimited Mox Sapphire R A BGS 10 PRISTINE (PWCC)
"Italian Revised Starter Box, 10ct Packs (PWCC)",,1994,Magic The Gathering,,,,"1994 Magic The Gathering MTG Italian Revised Starter Box, 10ct Packs (PWCC)"
"Italian Revised Booster Box, 36ct Packs (PWCC)",,1994,Magic The Gathering,,,,"1994 Magic The Gathering MTG Italian Revised Booster Box, 36ct Packs (PWCC)"
Terror,,1993,Magic The Gathering,Alpha,Terror,C K BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Terror C K BGS 9 MINT (PWCC)
Mox Emerald,,1993,Magic The Gathering,Beta,Mox Emerald,R A PSA 3 VG (PWCC),1993 Magic The Gathering MTG Beta Mox Emerald R A PSA 3 VG (PWCC)
Mox Pearl,,1993,Magic The Gathering,Unlimited,Mox Pearl,R A BGS 9.5 GEM MINT (PWCC),1993 Magic The Gathering MTG Unlimited Mox Pearl R A BGS 9.5 GEM MINT (PWCC)
Dual Land Badlands,,1993,Magic The Gathering,Beta,Dual Land Badlands,R L PSA 8 NM-MT (PWCC),1993 Magic The Gathering MTG Beta Dual Land Badlands R L PSA 8 NM-MT (PWCC)
Dual Land Bayou,,1993,Magic The Gathering,Beta,Dual Land Bayou,R L BGS 6.5 EXMT+ (PWCC),1993 Magic The Gathering MTG Beta Dual Land Bayou R L BGS 6.5 EXMT+ (PWCC)
Dual Land Tundra,,1993,Magic The Gathering,Beta,Dual Land Tundra,R L BGS 7.5 NRMT+ (PWCC),1993 Magic The Gathering MTG Beta Dual Land Tundra R L BGS 7.5 NRMT+ (PWCC)
Island,,1993,Magic The Gathering,Alpha,Island,V2 C L BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Island V2 C L BGS 9 MINT (PWCC)
